大白菜,0.45,0.48,0.50,新,斤,2021-07-16
娃娃菜,0.50,0.60,0.70,大冀新,斤,2021-07-16
小白菜,1.40,1.55,1.70,普通,斤,2021-07-16
芹菜,1.00,1.10,1.20,冀,斤,2021-07-16
西芹,1.80,2.00,2.20,普通,斤,2021-07-16
菠菜,1.50,2.00,2.50,蒙,斤,2021-07-16
莴笋,0.80,0.90,1.00,普通,斤,2021-07-16
团生菜,1.00,1.50,2.00,毛|净,斤,2021-07-16
圆白菜,0.50,0.65,0.80,冀,斤,2021-07-16
紫甘蓝,0.60,0.70,0.80,冀,斤,2021-07-16
散叶生菜,2.00,2.25,2.50,京冀,斤,2021-07-16
油菜,1.50,1.60,1.70,京冀,斤,2021-07-16
香菜,4.00,5.50,7.00,冀,斤,2021-07-16
茴香,2.00,2.25,2.50,冀,斤,2021-07-16
韭菜,1.00,1.25,1.50,普通,斤,2021-07-16
韭菜苔,3.20,3.50,3.80,普通,斤,2021-07-16
苦菊,3.00,3.50,4.00,辽,斤,2021-07-16
油麦菜,1.80,1.90,2.00,京,斤,2021-07-16
散菜花,1.20,1.40,1.60,豫苏,斤,2021-07-16
绿菜花,1.50,1.75,2.00,京 冀,斤,2021-07-16
